ts_code,trade_date,open,high,low,close,vol,amount
CTG,20151217,7.94,8.11,7.9,7.99,744030,5944799.7
CTG,20151218,7.94,7.99,7.86,7.86,535760,4211073.600000001
CTG,20151221,7.86,7.86,7.77,7.86,440600,3463116.0
CTG,20151222,7.82,7.94,7.77,7.77,426610,3314759.6999999997
CTG,20151223,7.77,7.82,7.69,7.69,556450,4279100.5
CTG,20151224,7.77,7.77,7.69,7.69,194940,1499088.6
CTG,20151225,7.73,7.77,7.65,7.69,286400,2202416.0
CTG,20151228,7.69,7.82,7.65,7.69,395650,3042548.5
CTG,20151229,7.69,7.86,7.6,7.86,604950,4754907.0
CTG,20151230,7.9,7.94,7.82,7.9,638890,5047231.0
CTG,20151231,7.94,7.94,7.82,7.9,407840,3221936.0
CTG,20160104,7.86,7.9,7.69,7.77,404050,3139468.5
CTG,20160105,7.69,7.77,7.65,7.69,319920,2460184.8000000003
CTG,20160106,7.69,7.82,7.69,7.77,544940,4234183.8
CTG,20160107,7.69,7.82,7.56,7.69,1592360,12245248.4
CTG,20160108,7.65,7.65,7.52,7.52,992590,7464276.8
CTG,20160111,7.52,7.6,7.48,7.52,667790,5021780.8
CTG,20160112,7.52,7.6,7.48,7.56,591100,4468716.0
CTG,20160113,7.6,7.65,7.52,7.52,458080,3444761.5999999996
CTG,20160114,7.52,7.52,7.35,7.52,853540,6418620.8
CTG,20160115,7.52,7.56,7.39,7.48,648830,4853248.4
CTG,20160118,7.31,7.31,6.97,7.14,1397320,9976864.799999999
CTG,20160119,7.09,7.39,7.09,7.39,1027250,7591377.5
CTG,20160120,7.35,7.35,7.18,7.18,608350,4367953.0
CTG,20160121,7.14,7.22,6.92,6.97,1144260,7975492.199999999
CTG,20160122,6.97,7.01,6.71,6.84,874560,5981990.399999999
CTG,20160125,7.01,7.31,7.01,7.31,879160,6426659.6
CTG,20160126,7.22,7.39,7.14,7.39,974540,7201850.6
CTG,20160127,7.39,7.56,7.39,7.43,390160,2898888.8
CTG,20160128,7.43,7.48,7.31,7.31,168290,1230199.9
CTG,20160129,7.31,7.35,7.22,7.31,220720,1613463.2
CTG,20160201,7.48,7.48,7.26,7.26,325280,2361532.8
CTG,20160202,7.26,7.39,7.22,7.26,163090,1184033.4
CTG,20160203,7.18,7.26,7.09,7.22,182840,1320104.8
CTG,20160204,7.31,7.31,7.22,7.31,242050,1769385.5
CTG,20160205,7.31,7.35,7.31,7.31,223150,1631226.5
CTG,20160215,7.18,7.35,7.18,7.31,153830,1124497.3
CTG,20160216,7.31,7.35,7.26,7.26,168880,1226068.8
CTG,20160217,7.26,7.31,7.22,7.26,264310,1918890.5999999999
CTG,20160218,7.26,7.39,7.22,7.39,462570,3418392.3
CTG,20160219,7.35,7.39,7.31,7.31,464980,3399003.8
CTG,20160222,7.35,7.39,7.22,7.31,798720,5838643.199999999
CTG,20160223,7.35,7.39,7.26,7.26,547820,3977173.1999999997
CTG,20160224,7.22,7.73,7.22,7.73,3102090,23979155.700000003
CTG,20160225,7.82,7.86,7.65,7.82,1745900,13652938.0
CTG,20160226,7.77,7.82,7.73,7.77,391080,3038691.5999999996
CTG,20160229,7.73,7.73,7.56,7.56,927670,7013185.199999999
CTG,20160301,7.56,7.65,7.48,7.48,795250,5948470.0
CTG,20160302,7.52,7.65,7.52,7.6,600340,4562584.0
CTG,20160303,7.65,7.69,7.56,7.65,908900,6953085.0
CTG,20160304,7.65,7.69,7.56,7.56,988840,7475630.399999999
CTG,20160307,7.65,7.65,7.52,7.56,738230,5581018.8
CTG,20160308,7.52,7.6,7.43,7.52,1265670,9517838.4
CTG,20160309,7.52,7.56,7.39,7.39,848880,6273223.2
CTG,20160310,7.43,7.48,7.39,7.43,337750,2509482.5
CTG,20160311,7.48,7.52,7.39,7.39,599880,4433113.2
CTG,20160314,7.43,7.48,7.35,7.39,556200,4110318.0
CTG,20160315,7.39,7.39,7.26,7.35,749470,5508604.5
CTG,20160316,7.35,7.43,7.31,7.35,661310,4860628.5
CTG,20160317,7.39,7.48,7.35,7.39,948590,7010080.1
CTG,20160318,7.39,7.43,7.35,7.35,210600,1547910.0
CTG,20160321,7.39,7.52,7.35,7.35,633320,4654902.0
CTG,20160322,7.31,7.39,7.26,7.26,478150,3471369.0
CTG,20160323,7.26,7.35,7.26,7.31,206120,1506737.2
CTG,20160324,7.35,7.35,7.18,7.18,549240,3943543.1999999997
CTG,20160325,7.18,7.22,7.05,7.18,653890,4694930.2
CTG,20160328,7.26,7.26,7.14,7.18,260810,1872615.7999999998
CTG,20160329,7.18,7.18,7.05,7.05,531710,3748555.5
CTG,20160330,7.09,7.09,7.01,7.09,693910,4919821.899999999
CTG,20160331,7.09,7.09,6.92,6.97,573010,3993879.6999999997
CTG,20160401,6.97,7.01,6.88,6.92,499970,3459792.4
CTG,20160404,6.92,7.01,6.88,7.01,341700,2395317.0
CTG,20160405,6.97,7.05,6.92,6.97,316480,2205865.6
CTG,20160406,6.97,7.09,6.92,7.09,1125710,7981283.899999999
CTG,20160407,7.14,7.14,7.01,7.09,1000690,7094892.1
CTG,20160408,7.14,7.14,7.05,7.09,485640,3443187.6
CTG,20160411,7.14,7.14,6.97,7.01,1579920,11075239.2
CTG,20160412,7.01,7.05,6.84,6.88,1469180,10107958.4
CTG,20160413,6.88,6.92,6.8,6.88,889370,6118865.6
CTG,20160414,6.92,6.97,6.84,6.84,479910,3282584.4
CTG,20160415,6.84,6.92,6.84,6.88,1575310,10838132.8
CTG,20160419,6.92,6.92,6.75,6.8,593650,4036820.0
CTG,20160420,6.8,6.84,6.71,6.8,809560,5505008.0
CTG,20160421,6.84,6.84,6.75,6.8,436360,2967248.0
CTG,20160422,6.8,7.26,6.75,7.14,2636290,18823110.599999998
CTG,20160425,7.22,7.39,7.22,7.26,2999940,21779564.4
CTG,20160426,7.31,7.31,7.14,7.18,644470,4627294.6
CTG,20160427,7.22,7.22,7.01,7.01,1759290,12332622.9
CTG,20160428,6.97,7.01,6.84,6.88,1137280,7824486.399999999
CTG,20160429,6.84,7.18,6.84,7.05,1345320,9484506.0
CTG,20160504,7.05,7.09,6.92,6.97,775300,5403841.0
CTG,20160505,7.05,7.18,6.97,7.09,1517550,10759429.5
CTG,20160506,7.09,7.39,7.09,7.35,3576280,26285658.0
CTG,20160509,7.43,7.56,7.31,7.35,2398820,17631327.0
CTG,20160510,7.26,7.48,7.22,7.39,1709950,12636530.5
CTG,20160511,7.43,7.65,7.35,7.65,3463790,26497993.5
CTG,20160512,7.73,7.73,7.48,7.52,1282940,9647708.799999999
CTG,20160513,7.52,7.69,7.43,7.52,1600710,12037339.2
CTG,20160516,7.52,7.52,7.39,7.43,894230,6644128.899999999
CTG,20160517,7.52,7.65,7.48,7.65,1847570,14133910.5
CTG,20160518,7.6,7.73,7.56,7.6,1645270,12504052.0
CTG,20160519,7.6,7.65,7.52,7.52,555110,4174427.1999999997
CTG,20160520,7.52,7.56,7.39,7.43,774760,5756466.8
CTG,20160523,7.48,7.48,7.26,7.26,938770,6815470.2
CTG,20160524,7.26,7.35,7.22,7.35,1147300,8432655.0
CTG,20160525,7.35,7.43,7.35,7.35,1056090,7762261.5
CTG,20160526,7.31,7.35,7.18,7.26,1542950,11201817.0
CTG,20160527,7.26,7.43,7.22,7.39,928400,6860876.0
CTG,20160530,7.39,7.52,7.35,7.48,614250,4594590.0
CTG,20160531,7.48,7.6,7.48,7.56,1127520,8524051.2
CTG,20160601,7.56,7.65,7.52,7.56,1117640,8449358.4
CTG,20160602,7.56,7.6,7.52,7.6,386210,2935196.0
CTG,20160603,7.6,7.6,7.52,7.56,580270,4386841.2
CTG,20160606,7.52,7.56,7.39,7.48,802850,6005318.0
CTG,20160607,7.48,7.48,7.39,7.39,537710,3973676.9
CTG,20160608,7.43,7.52,7.43,7.48,493650,3692502.0
CTG,20160609,7.48,7.6,7.43,7.56,890310,6730743.6
CTG,20160610,7.48,7.6,7.48,7.56,1063080,8036884.8
CTG,20160613,7.56,7.56,7.43,7.48,584150,4369442.0
CTG,20160614,7.43,7.43,7.31,7.39,976830,7218773.699999999
CTG,20160615,7.39,7.43,7.31,7.39,497500,3676525.0
CTG,20160616,7.35,7.43,7.31,7.31,428580,3132919.8
CTG,20160617,7.35,7.35,7.18,7.18,632060,4538190.8
CTG,20160620,7.22,7.26,7.18,7.22,429240,3099112.8
CTG,20160621,7.26,7.31,7.18,7.22,281970,2035823.4
CTG,20160622,7.31,7.31,7.14,7.18,513610,3687719.8
CTG,20160623,7.22,7.31,7.18,7.31,479790,3507264.9
CTG,20160624,7.26,7.31,6.8,7.09,1093710,7754403.899999999
CTG,20160627,6.97,7.09,6.97,7.09,334300,2370187.0
CTG,20160628,7.05,7.09,7.01,7.01,182440,1278904.4
CTG,20160629,7.09,7.26,7.09,7.18,513620,3687791.5999999996
CTG,20160630,7.22,7.26,7.14,7.14,398700,2846718.0
CTG,20160701,7.14,7.26,7.14,7.22,269590,1946439.8
CTG,20160704,7.26,7.31,7.18,7.26,470750,3417645.0
CTG,20160705,7.26,7.48,7.26,7.39,797750,5895372.5
CTG,20160706,7.39,7.39,7.26,7.31,299650,2190441.5
CTG,20160707,7.31,7.35,7.22,7.35,337740,2482389.0
CTG,20160708,7.39,7.39,7.26,7.31,260560,1904693.5999999999
CTG,20160711,7.31,7.56,7.31,7.39,1215260,8980771.4
CTG,20160712,7.43,7.52,7.39,7.52,2088690,15706948.799999999
CTG,20160713,7.56,8.03,7.52,8.03,5165290,41477278.699999996
CTG,20160714,8.2,8.58,7.9,7.9,5103110,40314569.0
CTG,20160715,8.03,8.2,7.94,7.94,1463810,11622651.4
