ts_code,trade_date,open,high,low,close,vol,amount
FPT,20160530,8.85,8.93,8.85,8.87,447160,3966309.1999999997
FPT,20160531,8.89,8.89,8.8,8.8,589350,5186280.0
FPT,20160601,8.85,8.85,8.8,8.8,519620,4572656.0
FPT,20160602,8.85,8.85,8.78,8.8,318100,2799280.0
FPT,20160603,8.82,8.82,8.76,8.78,400290,3514546.1999999997
FPT,20160606,8.78,8.78,8.67,8.72,754110,6575839.2
FPT,20160607,8.76,8.76,8.67,8.74,559610,4890991.4
FPT,20160608,8.74,8.78,8.72,8.78,516630,4536011.399999999
FPT,20160609,8.78,8.78,8.74,8.74,325390,2843908.6
FPT,20160610,8.72,8.76,8.72,8.74,475190,4153160.6
FPT,20160613,8.74,8.74,8.72,8.72,237230,2068645.6
FPT,20160614,8.69,8.74,8.69,8.74,242560,2119974.4
FPT,20160615,8.74,8.74,8.67,8.69,414560,3602526.4
FPT,20160616,8.74,8.76,8.69,8.72,359320,3133270.4000000004
FPT,20160617,8.72,8.74,8.69,8.72,206120,1797366.4000000001
FPT,20160620,8.74,9.26,8.72,9.21,1877120,17288275.200000003
FPT,20160621,9.26,9.45,9.19,9.21,1442710,13287359.100000001
FPT,20160622,9.17,9.26,9.15,9.15,300480,2749392.0
FPT,20160623,9.13,9.15,9.04,9.04,826170,7468576.799999999
FPT,20160624,9.0,9.0,8.44,8.82,2562810,22603984.2
FPT,20160627,8.82,8.93,8.67,8.89,587560,5223408.4
FPT,20160628,8.89,8.93,8.85,8.89,328400,2919476.0
FPT,20160629,8.87,9.17,8.87,9.06,1250570,11330164.200000001
FPT,20160630,9.17,9.19,9.02,9.02,669690,6040603.8
FPT,20160701,9.06,9.13,9.02,9.04,579110,5235154.399999999
FPT,20160704,9.06,9.21,9.06,9.17,863920,7922146.4
FPT,20160705,9.17,9.21,9.1,9.1,791050,7198555.0
FPT,20160706,9.08,9.17,9.04,9.13,602040,5496625.2
FPT,20160707,9.21,9.47,9.15,9.34,1592870,14877405.799999999
FPT,20160708,9.36,9.58,9.36,9.41,1594930,15008291.3
FPT,20160711,9.43,9.49,9.19,9.19,1035540,9516612.6
FPT,20160712,9.19,9.28,9.06,9.19,744580,6842690.199999999
FPT,20160713,9.19,9.34,9.19,9.26,751090,6955093.399999999
FPT,20160714,9.28,9.47,9.26,9.28,1880280,17448998.4
FPT,20160715,9.26,9.32,9.19,9.19,730200,6710538.0
FPT,20160718,9.17,9.21,9.1,9.19,578400,5315496.0
