ts_code,trade_date,open,high,low,close,vol,amount
HPG,20160525,3.02,3.06,3.0,3.01,1842560,5546105.6
HPG,20160526,3.0,3.02,2.97,2.97,1851110,5497796.7
HPG,20160527,2.96,3.0,2.95,2.98,1594940,4752921.2
HPG,20160530,2.99,3.04,2.99,3.02,3173180,9583003.6
HPG,20160531,3.04,3.06,3.01,3.02,3495250,10555655.0
HPG,20160601,3.02,3.12,3.0,3.08,5684250,17507490.0
HPG,20160602,3.08,3.16,3.06,3.15,5218950,16439692.5
HPG,20160603,3.18,3.21,3.16,3.18,6462490,20550718.2
HPG,20160606,3.2,3.28,3.16,3.16,7411920,23421667.2
HPG,20160607,3.17,3.24,3.17,3.24,3047640,9874353.600000001
HPG,20160608,3.28,3.34,3.26,3.3,3724890,12292137.0
HPG,20160609,3.31,3.32,3.26,3.28,2965630,9727266.399999999
HPG,20160610,3.29,3.35,3.28,3.31,2439340,8074215.4
HPG,20160613,3.3,3.3,3.24,3.26,2928110,9545638.6
HPG,20160614,3.25,3.39,3.24,3.39,3443200,11672448.0
HPG,20160615,3.39,3.46,3.36,3.4,2129160,7239144.0
HPG,20160616,3.4,3.46,3.4,3.41,2814140,9596217.4
HPG,20160617,3.39,3.42,3.34,3.34,5659440,18902529.599999998
HPG,20160620,3.4,3.43,3.37,3.43,1648120,5653051.600000001
HPG,20160621,3.47,3.55,3.47,3.5,3610830,12637905.0
HPG,20160622,3.5,3.57,3.49,3.54,2285990,8092404.6
HPG,20160623,3.53,3.6,3.53,3.58,4020040,14391743.200000001
HPG,20160624,3.57,3.58,3.33,3.47,12178690,42260054.300000004
HPG,20160627,3.42,3.49,3.37,3.49,3206680,11191313.200000001
HPG,20160628,3.45,3.51,3.44,3.46,1830580,6333806.8
HPG,20160629,3.47,3.55,3.46,3.51,4457030,15644175.299999999
HPG,20160630,3.56,3.6,3.53,3.54,3438530,12172396.2
HPG,20160701,3.56,3.61,3.55,3.56,5658560,20144473.6
HPG,20160704,3.58,3.59,3.55,3.57,4158970,14847522.899999999
HPG,20160705,3.6,3.65,3.58,3.59,4927570,17689976.3
HPG,20160706,3.58,3.66,3.56,3.66,4957280,18143644.8
HPG,20160707,3.74,3.84,3.71,3.83,3680720,14097157.6
HPG,20160708,3.84,3.86,3.75,3.82,5754320,21981502.4
HPG,20160711,3.82,3.84,3.62,3.62,5163140,18690566.8
HPG,20160712,3.65,3.7,3.59,3.67,5547040,20357636.8
HPG,20160713,3.71,3.75,3.71,3.72,3746150,13935678.0
HPG,20160714,3.73,3.74,3.59,3.59,5141750,18458882.5
HPG,20160715,3.58,3.64,3.51,3.63,3726150,13525924.5
HPG,20160718,3.63,3.83,3.62,3.78,5985260,22624282.799999997
HPG,20160719,3.84,3.84,3.66,3.75,4442630,16659862.5
HPG,20160720,3.75,3.77,3.67,3.67,2728420,10013301.4
HPG,20160721,3.68,3.74,3.66,3.68,2884960,10616652.8
HPG,20160722,3.66,3.66,3.49,3.59,5190610,18634289.9
HPG,20160725,3.63,3.69,3.58,3.66,3766690,13786085.4
HPG,20160726,3.66,3.78,3.64,3.78,4989480,18860234.4
HPG,20160727,3.85,3.88,3.79,3.86,7309600,28215056.0
HPG,20160728,3.87,4.0,3.87,3.99,5902350,23550376.5
HPG,20160729,3.99,4.0,3.93,3.98,6189170,24632896.6
HPG,20160801,3.99,3.99,3.89,3.94,4652710,18331677.4
HPG,20160802,3.9,3.92,3.82,3.82,6370060,24333629.2
HPG,20160803,3.81,3.86,3.79,3.86,3050500,11774930.0
HPG,20160804,3.9,3.91,3.81,3.81,3081510,11740553.1
HPG,20160805,3.8,3.85,3.77,3.85,4794470,18458709.5
HPG,20160808,3.86,3.89,3.82,3.83,1978940,7579340.2
HPG,20160809,3.83,3.87,3.82,3.87,2351520,9100382.4
HPG,20160810,3.89,4.11,3.89,4.05,5703740,23100147.0
HPG,20160811,4.06,4.13,4.05,4.11,3931110,16156862.100000001
HPG,20160812,4.2,4.22,4.08,4.09,4563390,18664265.099999998
HPG,20160815,4.08,4.14,4.08,4.14,4573000,18932220.0
HPG,20160816,4.18,4.26,4.16,4.2,3597400,15109080.0
HPG,20160817,4.21,4.38,4.21,4.34,4700970,20402209.8
HPG,20160818,4.4,4.44,4.34,4.36,4116040,17945934.400000002
HPG,20160819,4.37,4.4,4.31,4.31,3656710,15760420.099999998
HPG,20160822,4.31,4.35,4.29,4.34,2748960,11930486.4
HPG,20160823,4.33,4.41,4.33,4.41,3521490,15529770.9
HPG,20160824,4.44,4.51,4.37,4.38,5811280,25453406.4
HPG,20160825,4.51,4.56,4.48,4.56,5867250,26754659.999999996
HPG,20160826,4.56,4.57,4.51,4.52,2303950,10413853.999999998
HPG,20160829,4.51,4.53,4.4,4.4,4916380,21632072.0
HPG,20160830,4.37,4.45,4.34,4.44,3069560,13628846.4
HPG,20160831,4.49,4.55,4.48,4.54,3023220,13725418.8
HPG,20160901,4.54,4.54,4.48,4.5,2283700,10276650.0
HPG,20160905,4.52,4.53,4.44,4.45,3626000,16135700.0
HPG,20160906,4.48,4.53,4.46,4.49,3353490,15057170.100000001
HPG,20160907,4.49,4.67,4.44,4.67,4529030,21150570.1
HPG,20160908,4.67,4.79,4.62,4.76,5541710,26378539.599999998
HPG,20160909,4.76,4.77,4.68,4.7,2978500,13998950.0
HPG,20160912,4.65,4.66,4.56,4.56,3209760,14636505.6
HPG,20160913,4.56,4.68,4.56,4.64,3410530,15824859.2
HPG,20160914,4.6,4.66,4.6,4.62,1433230,6621522.600000001
HPG,20160915,4.6,4.72,4.6,4.69,3018930,14158781.700000001
HPG,20160916,4.69,4.74,4.67,4.72,9026300,42604136.0
HPG,20160919,4.78,4.87,4.76,4.84,4311630,20868289.2
HPG,20160920,4.8,4.85,4.77,4.82,3028200,14595924.0
HPG,20160921,4.81,4.9,4.77,4.84,2996420,14502672.799999999
HPG,20160922,4.89,4.95,4.85,4.9,4309820,21118118.0
HPG,20160923,4.9,4.92,4.87,4.87,3065270,14927864.9
HPG,20160926,4.85,4.9,4.79,4.87,2874560,13999107.200000001
HPG,20160927,4.87,4.92,4.86,4.9,3471140,17008586.0
HPG,20160928,4.93,4.99,4.9,4.95,3327970,16473451.5
HPG,20160929,4.95,4.99,4.9,4.92,3445480,16951761.6
HPG,20160930,4.88,4.93,4.84,4.85,7055060,34217041.0
HPG,20161003,4.85,4.88,4.72,4.72,6696480,31607385.599999998
HPG,20161004,4.69,4.75,4.57,4.66,12594180,58688878.800000004
HPG,20161005,4.67,4.69,4.62,4.62,4993350,23069277.0
HPG,20161006,4.61,4.64,4.51,4.55,5642520,25673466.0
HPG,20161007,4.55,4.59,4.3,4.36,12092340,52722602.400000006
HPG,20161010,4.35,4.36,4.16,4.16,5932030,24677244.8
HPG,20161011,4.19,4.44,4.17,4.44,8816090,39143439.6
HPG,20161012,4.48,4.52,4.31,4.33,6287140,27223316.2
HPG,20161013,4.26,4.41,4.21,4.38,4735200,20740176.0
HPG,20161014,4.35,4.42,4.28,4.28,4372760,18715412.8
HPG,20161017,4.26,4.33,4.22,4.22,2726800,11507096.0
HPG,20161018,4.2,4.32,4.2,4.32,3936870,17007278.400000002
HPG,20161019,4.35,4.44,4.32,4.38,3624200,15873996.0
HPG,20161020,4.4,4.41,4.34,4.36,1596170,6959301.2
HPG,20161021,4.36,4.39,4.34,4.35,2218550,9650692.5
HPG,20161024,4.35,4.37,4.26,4.26,2876450,12253677.0
HPG,20161025,4.26,4.27,4.16,4.2,3373480,14168616.0
HPG,20161026,4.2,4.24,4.14,4.2,2550830,10713486.0
HPG,20161027,4.22,4.22,4.16,4.2,1633800,6861960.0
HPG,20161028,4.2,4.36,4.2,4.33,3415950,14791063.5
HPG,20161031,4.36,4.36,4.26,4.32,2216260,9574243.200000001
HPG,20161101,4.3,4.36,4.28,4.28,1519710,6504358.800000001
HPG,20161102,4.28,4.28,4.19,4.19,2809280,11770883.200000001
HPG,20161103,4.19,4.19,4.12,4.17,3416740,14247805.799999999
HPG,20161104,4.19,4.22,4.18,4.2,1521270,6389334.0
HPG,20161107,4.24,4.37,4.21,4.36,4122990,17976236.400000002
HPG,20161108,4.38,4.43,4.37,4.4,4669020,20543688.0
HPG,20161109,4.4,4.4,4.19,4.34,9411610,40846387.4
HPG,20161110,4.43,4.44,4.4,4.4,3802720,16731968.000000002
HPG,20161111,4.37,4.39,4.33,4.34,3408550,14793107.0
HPG,20161114,4.33,4.39,4.32,4.37,3990070,17436605.900000002
HPG,20161115,4.37,4.49,4.37,4.45,4588760,20419982.0
HPG,20161116,4.45,4.52,4.44,4.46,4225640,18846354.4
HPG,20161117,4.45,4.5,4.42,4.43,3054490,13531390.7
HPG,20161118,4.42,4.46,4.37,4.38,3101710,13585489.799999999
HPG,20161121,4.39,4.45,4.36,4.45,3303700,14701465.0
HPG,20161122,4.5,4.5,4.43,4.44,3014150,13382826.000000002
HPG,20161123,4.44,4.49,4.41,4.42,2206150,9751183.0
HPG,20161124,4.43,4.48,4.41,4.42,2522970,11151527.4
HPG,20161125,4.45,4.48,4.41,4.43,3239970,14353067.1
HPG,20161128,4.42,4.43,4.3,4.32,3054300,13194576.0
HPG,20161129,4.33,4.34,4.26,4.28,2916960,12484588.8
HPG,20161130,4.27,4.51,4.26,4.46,6140310,27385782.6
HPG,20161201,4.49,4.51,4.43,4.43,4391230,19453148.9
HPG,20161202,4.44,4.49,4.43,4.48,4769370,21366777.6
HPG,20161205,4.49,4.57,4.48,4.5,6102780,27462510.0
HPG,20161206,4.51,4.52,4.31,4.34,4956320,21510428.8
HPG,20161207,4.34,4.39,4.33,4.33,2987910,12937650.3
HPG,20161208,4.34,4.39,4.33,4.34,1912140,8298687.6
HPG,20161209,4.34,4.38,4.33,4.34,2565360,11133662.4
HPG,20161212,4.33,4.34,4.3,4.32,2412750,10423080.0
HPG,20161213,4.32,4.33,4.27,4.3,2687280,11555304.0
HPG,20161214,4.3,4.43,4.3,4.42,2633270,11639053.4
HPG,20161215,4.41,4.42,4.36,4.38,1830580,8017940.399999999
HPG,20161216,4.37,4.46,4.37,4.43,3688380,16339523.399999999
HPG,20161219,4.44,4.47,4.38,4.4,2430260,10693144.0
HPG,20161220,4.4,4.43,4.38,4.38,1312730,5749757.399999999
HPG,20161221,4.4,4.47,4.39,4.44,2405340,10679709.600000001
HPG,20161222,4.46,4.58,4.45,4.51,6126040,27628440.4
HPG,20161223,4.51,4.58,4.46,4.56,4268440,19464086.4
HPG,20161226,4.6,4.65,4.59,4.64,3826190,17753521.599999998
HPG,20161227,4.64,4.66,4.58,4.58,3831250,17547125.0
HPG,20161228,4.58,4.64,4.58,4.62,3467160,16018279.200000001
HPG,20161229,4.61,4.63,4.58,4.58,2021280,9257462.4
HPG,20161230,4.58,4.61,4.58,4.58,1969290,9019348.2
HPG,20170103,4.59,4.68,4.58,4.67,3044660,14218562.2
HPG,20170104,4.7,4.72,4.65,4.67,2346300,10957221.0
HPG,20170105,4.67,4.7,4.67,4.68,3018500,14126580.0
HPG,20170106,4.69,4.71,4.58,4.6,4204960,19342816.0
HPG,20170109,4.61,4.62,4.56,4.58,2617980,11990348.4
HPG,20170110,4.58,4.68,4.58,4.65,2985620,13883133.000000002
HPG,20170111,4.65,4.67,4.61,4.67,1669830,7798106.1
HPG,20170112,4.69,4.69,4.63,4.63,1816920,8412339.6
HPG,20170113,4.61,4.63,4.58,4.58,2579390,11813606.2
HPG,20170116,4.58,4.59,4.45,4.45,4140650,18425892.5
HPG,20170117,4.45,4.5,4.43,4.45,2562530,11403258.5
HPG,20170118,4.45,4.48,4.41,4.41,2807280,12380104.8
HPG,20170119,4.38,4.44,4.38,4.4,1908870,8399028.0
HPG,20170120,4.4,4.49,4.4,4.48,1186610,5316012.800000001
HPG,20170123,4.46,4.51,4.45,4.45,1195100,5318195.0
HPG,20170124,4.48,4.48,4.45,4.45,1167800,5196710.0
HPG,20170125,4.45,4.51,4.45,4.49,907340,4073956.6
HPG,20170202,4.51,4.53,4.48,4.53,1714550,7766911.5
HPG,20170203,4.68,4.72,4.58,4.58,5400770,24735526.6
HPG,20170206,4.61,4.68,4.58,4.68,4596640,21512275.2
HPG,20170207,4.69,4.78,4.69,4.73,8714000,41217220.0
HPG,20170208,4.75,4.75,4.7,4.74,3232800,15323472.0
HPG,20170209,4.76,4.79,4.71,4.72,5763710,27204711.2
HPG,20170210,4.71,4.76,4.7,4.7,4005140,18824158.0
HPG,20170213,4.72,4.76,4.72,4.75,2291640,10885290.0
HPG,20170214,4.77,4.83,4.75,4.78,4524800,21628544.0
HPG,20170215,4.78,4.82,4.75,4.79,3767830,18047905.7
HPG,20170216,4.81,4.81,4.74,4.74,4491020,21287434.8
HPG,20170217,4.72,4.73,4.64,4.7,5439270,25564569.0
HPG,20170220,4.54,4.55,4.41,4.45,13251990,58971355.5
HPG,20170221,4.44,4.5,4.42,4.48,4324840,19375283.200000003
HPG,20170222,4.48,4.49,4.24,4.26,7920920,33743119.199999996
HPG,20170223,4.26,4.34,4.25,4.31,4527400,19513094.0
HPG,20170224,4.3,4.32,4.25,4.29,2402300,10305867.0
HPG,20170227,4.28,4.29,4.23,4.27,3949350,16863724.5
HPG,20170228,4.3,4.32,4.24,4.24,2358760,10001142.4
HPG,20170301,4.24,4.35,4.18,4.34,3802640,16503457.6
HPG,20170302,4.36,4.46,4.34,4.45,7913230,35213873.5
HPG,20170303,4.45,4.45,4.35,4.35,1779190,7739476.499999999
HPG,20170306,4.35,4.4,4.33,4.37,2560640,11189996.8
HPG,20170307,4.39,4.4,4.36,4.37,1917450,8379256.5
HPG,20170308,4.37,4.38,4.36,4.38,2014690,8824342.2
HPG,20170309,4.38,4.47,4.38,4.45,4294340,19109813.0
HPG,20170310,4.45,4.56,4.45,4.46,6007990,26795635.4
HPG,20170313,4.46,4.48,4.43,4.46,1984280,8849888.8
HPG,20170314,4.48,4.48,4.45,4.46,1597180,7123422.8
HPG,20170315,4.46,4.46,4.4,4.41,2582180,11387413.8
HPG,20170316,4.43,4.44,4.42,4.43,988750,4380162.5
HPG,20170317,4.44,4.47,4.38,4.38,4447530,19480181.4
HPG,20170320,4.43,4.45,4.41,4.44,958720,4256716.800000001
HPG,20170321,4.51,4.55,4.5,4.54,3582260,16263460.4
HPG,20170322,4.56,4.57,4.49,4.5,2598780,11694510.0
HPG,20170323,4.51,4.55,4.5,4.53,2599800,11777094.0
HPG,20170324,4.56,4.57,4.53,4.57,2938830,13430453.100000001
HPG,20170327,4.59,4.6,4.56,4.57,3248280,14844639.600000001
HPG,20170328,4.56,4.58,4.52,4.56,2948930,13447120.799999999
HPG,20170329,4.56,4.62,4.54,4.6,5883840,27065663.999999996
HPG,20170330,4.73,4.82,4.68,4.75,8091460,38434435.0
HPG,20170331,4.76,4.89,4.76,4.85,3390840,16445573.999999998
HPG,20170403,4.87,5.08,4.86,5.07,4490760,22768153.200000003
HPG,20170404,5.08,5.28,5.07,5.13,7700040,39501205.199999996
HPG,20170405,5.08,5.09,4.98,4.99,4587810,22893171.900000002
HPG,20170407,4.97,5.09,4.93,5.06,4327880,21899072.799999997
HPG,20170410,5.08,5.09,5.02,5.07,4318150,21893020.5
HPG,20170411,5.08,5.09,5.04,5.06,3139100,15883845.999999998
HPG,20170412,5.05,5.06,4.98,5.02,4231190,21240573.799999997
HPG,20170413,5.0,5.04,4.98,5.0,3009260,15046300.0
HPG,20170414,4.96,4.99,4.84,4.9,3510790,17202871.0
HPG,20170417,4.91,4.93,4.82,4.84,4472670,21647722.8
