ts_code,trade_date,open,high,low,close,vol,amount
VNM,20160627,49.96,50.32,49.22,50.32,681400,34288048.0
VNM,20160628,50.32,52.9,49.96,51.43,2005670,103151608.1
VNM,20160629,51.79,51.79,51.06,51.06,830840,42422690.4
VNM,20160630,51.43,52.16,51.43,51.79,687180,35589052.2
VNM,20160701,52.53,52.9,52.16,52.53,1171460,61536793.800000004
VNM,20160704,52.9,53.26,52.53,53.26,878780,46803822.8
VNM,20160705,53.26,53.63,52.53,52.9,719200,38045680.0
VNM,20160706,52.53,52.9,52.16,52.53,401510,21091320.3
VNM,20160707,52.53,54.0,52.53,54.0,1355810,73213740.0
VNM,20160708,54.36,54.73,53.63,54.0,654500,35343000.0
VNM,20160711,54.0,54.73,53.26,53.63,554950,29761968.5
VNM,20160712,53.63,54.0,52.9,54.0,644290,34791660.0
VNM,20160713,54.0,54.36,53.63,54.0,444730,24015420.0
VNM,20160714,53.63,54.36,53.26,53.63,1249220,66995668.6
VNM,20160715,53.63,54.36,53.26,54.0,491430,26537220.0
VNM,20160718,54.36,55.47,54.0,55.1,1083560,59704156.0
VNM,20160719,55.1,56.94,55.1,56.2,1838230,103308526.0
VNM,20160720,56.57,58.41,55.84,58.04,1548000,89845920.0
VNM,20160721,58.77,59.51,57.3,57.67,1758070,101387896.9
VNM,20160722,58.41,58.41,55.84,57.3,2099510,120301923.0
VNM,20160725,57.67,57.67,56.57,56.57,551630,31205709.1
VNM,20160726,56.57,58.04,56.2,57.67,1021030,58882800.1
VNM,20160727,58.04,58.41,57.67,58.04,594750,34519290.0
VNM,20160728,58.04,59.14,58.04,58.77,1316550,77373643.5
VNM,20160729,58.77,59.14,58.04,58.04,1004950,58327298.0
VNM,20160801,58.41,58.41,56.57,56.94,1706560,97171526.39999999
VNM,20160802,56.57,56.94,55.84,55.84,1681750,93908920.0
VNM,20160803,56.2,56.94,55.84,56.57,660790,37380890.3
VNM,20160804,56.94,58.04,56.57,57.3,1142360,65457228.0
VNM,20160805,57.3,58.04,56.94,58.04,839620,48731544.8
VNM,20160808,58.04,58.41,57.67,58.04,657180,38142727.2
VNM,20160809,58.41,59.88,58.41,59.51,1906470,113454029.7
VNM,20160810,59.88,60.61,59.51,60.24,1339110,80667986.4
VNM,20160811,60.61,62.08,60.24,62.08,1682430,104445254.39999999
VNM,20160812,63.18,64.28,61.71,61.71,3172710,195787934.1
VNM,20160815,61.71,62.45,61.34,62.08,1144990,71080979.2
VNM,20160816,62.08,62.81,62.08,62.08,1086530,67451782.39999999
VNM,20160817,62.45,63.18,62.08,62.81,1335230,83865796.3
VNM,20160818,63.18,63.92,62.81,63.92,2115570,135227234.4
VNM,20160819,65.73,66.64,64.37,64.82,3527830,228673940.59999996
VNM,20160822,64.82,65.28,63.46,63.46,1276220,80988921.2
VNM,20160823,63.46,64.82,63.01,64.82,1074520,69650386.39999999
VNM,20160824,65.28,66.18,64.82,65.73,1173980,77165705.4
VNM,20160825,65.73,66.18,64.82,65.73,609070,40034171.1
VNM,20160826,65.28,66.18,65.28,66.18,961360,63622804.800000004
VNM,20160829,66.18,70.26,66.18,68.45,3289040,225134788.0
VNM,20160830,68.9,69.36,68.0,68.9,1752690,120760341.00000001
VNM,20160831,69.36,70.72,69.36,70.72,2108900,149141408.0
VNM,20160901,70.72,70.72,68.9,69.81,2630100,183607281.0
VNM,20160905,69.81,70.72,68.45,69.81,2682460,187262532.6
VNM,20160906,69.81,69.81,68.0,68.0,1732660,117820880.0
VNM,20160907,67.54,67.54,64.82,66.18,4166500,275738970.0
VNM,20160908,65.73,67.09,65.28,66.64,2287900,152465656.0
VNM,20160909,67.09,67.09,64.82,64.82,1741810,112904124.19999999
VNM,20160912,65.28,66.09,63.87,64.01,2182400,139695424.0
VNM,20160913,64.01,66.09,63.06,65.68,2425810,159327200.8
VNM,20160914,65.28,65.5,64.46,65.28,875800,57172224.0
VNM,20160915,65.5,65.55,64.6,64.82,1445440,93693420.8
VNM,20160916,64.82,64.82,62.56,62.56,6624630,414436852.8
VNM,20160919,63.46,63.46,61.56,61.65,3028480,186705792.0
VNM,20160920,61.56,61.65,60.29,61.65,2676170,164985880.5
VNM,20160921,62.1,62.96,62.1,62.46,1460260,91207839.6
VNM,20160922,62.56,63.24,62.19,62.19,952970,59265204.3
VNM,20160923,62.01,63.64,61.88,63.46,1718800,109075048.0
VNM,20160926,63.51,63.96,63.28,63.92,1518050,97033756.0
VNM,20160927,63.87,64.1,63.46,63.46,1074130,68164289.8
VNM,20160928,63.69,63.78,63.14,63.46,1476100,93673306.0
VNM,20160929,63.46,63.87,63.33,63.46,2074740,131663000.4
VNM,20160930,63.46,63.87,63.46,63.46,989150,62771459.0
VNM,20161003,63.87,63.87,63.55,63.69,1069050,68087794.5
VNM,20161004,63.69,64.28,63.51,63.69,1378590,87802397.1
VNM,20161005,63.92,64.1,63.64,63.64,821370,52271986.8
VNM,20161006,63.64,64.55,63.64,64.37,1526360,98251793.2
VNM,20161007,64.37,64.64,63.74,64.19,1175020,75424533.8
VNM,20161010,64.19,64.19,63.51,63.51,742680,47167606.8
VNM,20161011,63.46,63.92,62.19,63.69,2006450,127790800.5
VNM,20161012,63.69,64.14,63.46,64.14,1243190,79738206.6
VNM,20161013,63.96,64.6,63.96,64.37,771080,49634419.6
VNM,20161014,64.37,65.64,64.37,65.28,2094790,136747891.2
VNM,20161017,64.96,65.37,64.41,64.46,711870,45887140.199999996
VNM,20161018,64.46,65.28,64.32,65.28,877320,57271449.6
VNM,20161019,64.91,66.41,64.87,66.18,1959520,129681033.60000001
VNM,20161020,66.18,66.41,65.5,65.68,855020,56157713.60000001
VNM,20161021,65.73,66.14,65.32,65.37,585660,38284594.2
VNM,20161024,65.37,65.37,63.92,63.92,1645610,105187391.2
VNM,20161025,63.92,64.28,63.69,63.92,1247450,79737004.0
VNM,20161026,63.92,64.14,63.87,63.96,405530,25937698.8
VNM,20161027,64.1,64.6,63.96,64.6,378630,24459497.999999996
VNM,20161028,64.6,65.32,64.37,64.96,833450,54140911.99999999
VNM,20161031,64.82,65.09,64.37,64.37,354450,22815946.5
VNM,20161101,64.82,64.82,64.1,64.32,560760,36068083.199999996
VNM,20161102,64.32,64.64,63.96,63.96,803900,51417444.0
VNM,20161103,63.92,64.1,63.78,64.1,1438620,92215541.99999999
VNM,20161104,64.1,64.32,63.69,63.87,1048780,66985578.599999994
VNM,20161107,63.92,63.96,63.51,63.55,1259230,80024066.5
VNM,20161108,63.69,63.87,63.6,63.64,487900,31049956.0
VNM,20161109,63.55,63.6,61.92,63.46,2730910,173303548.6
VNM,20161110,63.69,64.05,63.64,63.92,970990,62065680.800000004
VNM,20161111,63.92,64.01,63.69,63.69,789590,50288987.1
VNM,20161114,63.46,63.6,62.6,62.65,1635670,102474725.5
VNM,20161115,62.6,63.06,62.19,62.24,1937180,120570083.2
VNM,20161116,62.24,63.1,62.24,63.01,1694320,106759103.2
VNM,20161117,63.01,63.14,62.87,63.01,876780,55245907.8
VNM,20161118,62.6,62.78,62.19,62.19,1269760,78966374.39999999
VNM,20161121,62.56,62.96,62.51,62.78,972500,61053550.0
VNM,20161122,62.83,63.87,62.83,63.78,1242000,79214760.0
VNM,20161123,63.78,63.82,62.92,63.01,903770,56946547.699999996
VNM,20161124,62.96,62.96,61.88,61.97,2085820,129258265.39999999
VNM,20161125,61.97,62.01,60.61,60.97,2750970,167726640.9
VNM,20161128,60.74,60.74,58.25,58.57,3125070,183035349.9
VNM,20161129,59.38,61.02,59.16,60.88,2857650,173973732.0
VNM,20161130,61.2,64.37,60.74,62.56,5410310,338468993.6
VNM,20161201,62.6,62.65,61.29,61.29,1458640,89400045.6
VNM,20161202,61.2,61.88,60.83,61.2,1698140,103926168.0
VNM,20161205,61.38,61.51,60.97,61.2,1059840,64862208.0
VNM,20161206,61.2,61.2,60.65,60.74,921260,55957332.4
VNM,20161207,60.42,60.47,59.74,60.06,2071090,124389665.4
VNM,20161208,61.33,61.74,61.02,61.29,2784980,170691424.2
VNM,20161209,61.42,62.01,61.2,61.56,1512330,93099034.8
VNM,20161212,60.06,60.88,60.06,60.61,1685520,102159367.2
VNM,20161213,60.61,61.2,59.38,59.38,1451120,86167505.60000001
VNM,20161214,59.38,59.93,58.93,59.29,1192770,70719333.3
VNM,20161215,59.11,59.16,57.52,57.84,2740830,158529607.20000002
VNM,20161216,58.02,58.88,58.02,58.88,1677380,98764134.4
VNM,20161219,59.16,59.34,58.25,58.39,618600,36120054.0
VNM,20161220,58.25,58.34,56.35,56.48,3022290,170698939.2
VNM,20161221,56.21,57.43,55.08,57.16,2363690,135108520.4
VNM,20161222,57.16,57.57,55.8,55.8,1433510,79989858.0
VNM,20161223,55.8,56.21,55.12,56.21,1446200,81290902.0
VNM,20161226,56.21,56.44,55.35,55.53,625660,34742899.8
VNM,20161227,55.48,56.75,55.35,56.66,1728320,97926611.19999999
VNM,20161228,57.12,57.48,56.66,57.12,1060440,60572332.8
VNM,20161229,58.84,58.93,58.16,58.3,1999150,116550445.0
VNM,20161230,58.3,58.3,56.84,56.94,1065850,60689499.0
VNM,20170103,56.94,57.57,56.94,57.43,652370,37465609.1
VNM,20170104,57.57,57.84,57.48,57.52,659370,37926962.4
VNM,20170105,57.62,57.62,57.21,57.43,822360,47228134.8
VNM,20170106,57.43,57.84,57.12,57.12,1371760,78354931.2
VNM,20170109,57.43,57.48,57.12,57.12,911300,52053456.0
VNM,20170110,57.12,57.34,57.12,57.16,915320,52319691.199999996
VNM,20170111,57.25,57.66,57.21,57.57,838220,48256325.4
VNM,20170112,57.57,57.75,57.39,57.57,474780,27333084.6
VNM,20170113,57.57,57.71,57.34,57.52,612600,35236752.0
VNM,20170116,57.57,57.62,57.3,57.34,602630,34554804.2
VNM,20170117,57.43,57.43,57.16,57.16,582380,33288840.799999997
VNM,20170118,57.12,57.21,56.75,57.12,852000,48666240.0
VNM,20170119,57.25,57.25,57.07,57.12,862790,49282564.8
VNM,20170120,57.12,58.16,57.12,57.57,1594930,91820120.1
VNM,20170123,57.57,58.52,57.57,58.02,1825560,105918991.2
VNM,20170124,58.48,58.57,58.02,58.02,932170,54084503.400000006
VNM,20170125,58.02,58.57,58.02,58.48,1485910,86896016.8
VNM,20170202,58.7,60.47,58.48,60.29,1700550,102526159.5
VNM,20170203,61.15,62.06,60.52,60.7,1608110,97612277.0
VNM,20170206,60.79,60.83,60.2,60.38,1331990,80425556.2
VNM,20170207,60.38,60.88,60.06,60.65,738710,44802761.5
VNM,20170208,60.65,60.92,60.52,60.7,448850,27245195.0
VNM,20170209,60.88,60.97,60.74,60.79,814060,49486707.4
VNM,20170210,60.79,60.79,60.61,60.65,2093370,126962890.5
VNM,20170213,60.65,60.74,60.47,60.65,694280,42108082.0
VNM,20170214,60.65,60.7,60.15,60.24,673070,40545736.800000004
VNM,20170215,60.29,60.38,60.2,60.29,862020,51971185.8
VNM,20170216,60.29,60.47,59.66,59.84,666900,39907296.0
VNM,20170217,59.84,59.88,58.84,58.93,953520,56190933.6
VNM,20170220,58.93,59.2,58.93,58.93,484790,28568674.7
VNM,20170221,58.93,59.52,58.61,59.07,817670,48299766.9
VNM,20170222,59.07,59.47,59.02,59.11,590120,34881993.2
VNM,20170223,59.11,59.16,58.52,59.07,613250,36224677.5
VNM,20170224,58.93,59.79,58.7,59.79,1319730,78906656.7
VNM,20170227,59.84,60.11,59.74,59.74,759760,45388062.4
VNM,20170228,59.74,59.79,59.34,59.56,769690,45842736.4
VNM,20170301,59.25,59.7,59.25,59.29,587180,34813902.2
VNM,20170302,59.29,59.29,58.79,58.79,482040,28339131.599999998
VNM,20170303,58.79,58.98,58.61,58.88,508470,29938713.6
VNM,20170306,58.79,59.38,58.7,59.34,736590,43709250.6
VNM,20170307,58.93,59.29,58.88,58.93,444700,26206171.0
VNM,20170308,58.93,59.66,58.93,59.2,639360,37850112.0
VNM,20170309,59.34,59.34,59.11,59.16,409260,24211821.599999998
VNM,20170310,59.16,59.2,58.88,58.88,427360,25162956.8
VNM,20170313,58.93,59.2,58.79,58.79,342480,20134399.2
VNM,20170314,58.84,59.34,58.84,59.25,489770,29018872.5
VNM,20170315,59.29,60.29,59.25,60.29,1182810,71311614.9
VNM,20170316,60.29,60.92,60.29,60.74,905990,55029832.6
VNM,20170317,60.79,61.02,60.56,60.74,1035520,62897484.800000004
VNM,20170320,60.38,61.1,60.02,60.7,730260,44326782.0
VNM,20170321,60.52,61.65,60.52,61.47,819240,50358682.8
VNM,20170322,61.33,62.87,61.33,61.92,1472340,91167292.8
VNM,20170323,61.92,63.64,61.92,63.55,2051790,130391254.5
VNM,20170324,63.82,64.37,63.78,64.23,1083750,69609262.5
VNM,20170327,64.78,65.18,64.14,64.37,1066240,68633868.80000001
VNM,20170328,64.69,64.82,63.01,63.82,1026200,65492084.0
VNM,20170329,63.51,64.37,63.46,64.28,773630,49728936.4
VNM,20170330,64.28,65.28,64.28,65.28,1175100,76710528.0
VNM,20170331,65.59,65.77,64.96,64.96,1382240,89790310.39999999
VNM,20170403,64.96,65.55,64.96,65.41,802030,52460782.3
VNM,20170404,65.41,65.41,65.09,65.28,1063990,69457267.2
VNM,20170405,65.05,65.28,64.6,65.0,788830,51273950.0
VNM,20170407,64.23,64.91,64.05,64.64,905370,58523116.8
VNM,20170410,64.64,64.73,64.32,64.64,604270,39060012.8
VNM,20170411,64.64,65.14,64.6,65.05,465400,30274270.0
VNM,20170412,65.28,65.46,65.0,65.28,758300,49501824.0
VNM,20170413,65.05,65.23,64.87,64.87,322970,20951063.900000002
VNM,20170414,64.64,64.82,63.82,64.23,622350,39973540.5
VNM,20170417,63.78,64.64,63.78,64.37,884170,56914022.900000006
VNM,20170418,64.41,65.55,64.37,65.46,1900380,124398874.79999998
VNM,20170419,65.46,66.14,65.46,65.91,968630,63842403.3
VNM,20170420,65.96,65.96,65.55,65.68,427660,28088708.800000004
VNM,20170421,65.68,65.86,65.37,65.59,445370,29211818.3
VNM,20170424,65.37,65.59,65.05,65.28,562400,36713472.0
VNM,20170425,65.18,65.18,64.78,65.0,472730,30727450.0
VNM,20170426,65.0,65.23,64.6,65.23,272660,17785611.8
VNM,20170427,65.37,66.41,65.18,66.41,1185660,78739680.6
VNM,20170428,66.64,67.36,66.5,67.09,1414090,94871298.10000001
VNM,20170503,67.13,67.41,67.13,67.22,879460,59117301.199999996
VNM,20170504,67.22,68.14,67.04,67.91,999850,67899813.5
VNM,20170505,67.45,67.82,67.04,67.04,524400,35155776.0
VNM,20170508,67.04,67.09,66.36,66.72,813270,54261374.4
VNM,20170509,66.68,66.68,65.53,65.85,937160,61711985.99999999
VNM,20170510,65.67,66.54,65.53,66.04,643400,42490136.00000001
VNM,20170511,66.22,66.22,65.81,66.08,465950,30789976.0
VNM,20170512,66.08,66.45,65.9,66.22,594730,39383020.6
VNM,20170515,66.31,66.45,65.58,65.81,820620,54005002.2
VNM,20170516,65.85,66.04,65.62,65.62,531270,34861937.400000006
VNM,20170517,65.62,67.45,65.62,67.22,1231010,82748492.2
VNM,20170518,66.08,67.0,66.08,66.77,580440,38755978.8
VNM,20170519,66.77,67.68,66.63,67.64,816280,55213179.2
VNM,20170522,67.64,68.78,67.59,68.73,1210850,83221720.5
VNM,20170523,68.73,69.51,68.73,69.28,730180,50586870.4
VNM,20170524,69.28,69.47,68.6,69.28,702140,48644259.2
VNM,20170525,69.28,69.28,68.46,68.6,619520,42499072.0
VNM,20170526,68.37,69.51,68.37,69.51,427910,29744024.1
VNM,20170529,69.51,69.65,69.24,69.37,356250,24713062.5
VNM,20170530,69.24,69.33,68.28,68.46,460930,31555267.799999997
VNM,20170531,68.6,69.65,68.41,68.46,1328060,90918987.6
VNM,20170601,69.05,69.47,68.64,69.47,597180,41486094.6
VNM,20170602,69.05,69.51,68.69,69.01,496020,34230340.2
VNM,20170605,69.01,71.11,69.01,70.29,749080,52652833.2
VNM,20170606,70.33,70.79,70.29,70.52,239400,16882488.0
VNM,20170607,70.66,70.7,69.97,70.43,740420,52147780.6
VNM,20170608,70.43,70.43,70.15,70.24,207740,14591657.6
VNM,20170609,70.38,70.43,70.2,70.29,329670,23172504.3
VNM,20170612,70.29,70.33,69.74,69.83,505720,35314427.6
VNM,20170613,69.79,69.79,69.33,69.65,636190,44310633.5
VNM,20170614,69.65,70.29,69.6,70.2,536000,37627200.0
VNM,20170615,70.2,70.56,70.11,70.33,414540,29154598.2
VNM,20170616,70.88,70.88,69.97,69.97,1161370,81261058.9
VNM,20170619,70.06,70.61,70.02,70.61,740530,52288823.3
VNM,20170620,70.61,70.61,69.83,69.97,894760,62606357.199999996
VNM,20170621,69.79,70.33,69.28,70.33,912700,64190191.0
VNM,20170622,70.02,70.33,69.88,69.92,244120,17068870.400000002
VNM,20170623,69.92,70.02,69.79,69.97,344920,24134052.4
VNM,20170626,69.97,70.2,69.65,70.15,267450,18761617.5
VNM,20170627,70.15,70.29,70.11,70.2,542230,38064546.0
VNM,20170628,70.2,71.11,70.2,71.07,918320,65265002.39999999
VNM,20170629,71.11,71.3,70.79,70.79,312720,22137448.8
VNM,20170630,70.79,72.21,70.79,72.07,1344660,96909646.19999999
VNM,20170703,71.98,72.26,71.66,71.8,562340,40376012.0
VNM,20170704,71.71,71.75,71.39,71.57,324350,23213729.499999996
VNM,20170705,71.39,71.66,71.3,71.61,438550,31404565.5
VNM,20170706,72.07,72.35,71.66,72.03,549800,39602094.0
VNM,20170707,72.16,72.26,70.52,70.52,976360,68852907.2
VNM,20170710,70.75,70.75,69.15,69.37,992910,68878166.7
VNM,20170711,69.37,69.97,69.37,69.97,518150,36254955.5
VNM,20170712,70.29,71.3,69.88,71.07,541660,38495776.199999996
VNM,20170713,71.8,71.8,71.34,71.48,500840,35800043.2
VNM,20170714,71.48,71.48,70.88,70.93,690430,48972199.900000006
VNM,20170717,70.43,70.88,69.33,69.47,553330,38439835.1
VNM,20170718,69.51,69.97,69.05,69.51,637870,44338343.7
VNM,20170719,69.97,70.61,69.83,69.97,375820,26296125.4
VNM,20170720,69.51,69.92,69.47,69.51,727990,50602584.900000006
VNM,20170721,69.15,69.51,69.15,69.28,464940,32211043.2
VNM,20170724,69.1,69.51,68.6,69.42,704570,48911249.4
VNM,20170725,69.28,69.51,69.15,69.42,175170,12160301.4
VNM,20170726,69.51,70.29,69.47,69.97,338260,23668052.2
VNM,20170727,69.97,69.97,69.83,69.92,214220,14978262.4
VNM,20170728,69.97,70.02,69.92,69.97,342150,23940235.5
VNM,20170731,69.97,69.97,69.74,69.79,682960,47663778.400000006
VNM,20170801,69.79,69.79,69.1,69.1,811580,56080177.99999999
VNM,20170802,69.1,69.74,69.1,69.69,1066000,74289540.0
VNM,20170803,70.06,70.56,69.97,70.43,702810,49498908.300000004
VNM,20170804,70.43,70.56,70.33,70.43,290860,20485269.8
VNM,20170807,70.43,70.43,69.97,70.29,384100,26998389.000000004
VNM,20170808,70.29,70.29,69.42,69.51,1197600,83245176.0
VNM,20170809,69.51,69.51,67.86,68.6,1116820,76613852.0
VNM,20170810,68.6,69.42,68.6,69.28,392360,27182700.8
VNM,20170811,69.05,69.51,68.6,69.28,691600,47914048.0
VNM,20170814,69.28,69.28,68.96,69.14,927460,64124584.4
VNM,20170815,69.14,69.28,68.59,68.59,537150,36843118.5
VNM,20170816,68.45,68.45,67.48,68.13,427170,29103092.099999998
VNM,20170817,68.13,68.87,67.9,68.73,842250,57887842.5
VNM,20170818,68.4,69.01,68.4,68.91,355880,24523690.799999997
VNM,20170821,68.96,68.96,68.78,68.78,247430,17018235.4
VNM,20170822,68.82,68.82,68.45,68.59,418410,28698741.900000002
VNM,20170823,68.54,68.59,68.27,68.59,403240,27658231.6
VNM,20170824,68.4,68.59,68.4,68.5,244450,16744825.0
VNM,20170825,68.59,68.59,68.4,68.59,274610,18835499.900000002
VNM,20170828,68.59,68.59,68.22,68.5,323280,22144680.0
VNM,20170829,68.36,68.5,68.08,68.13,670760,45698878.8
VNM,20170830,68.13,68.4,68.13,68.36,515460,35236845.6
VNM,20170831,68.59,69.51,68.5,68.54,591080,40512623.2
VNM,20170901,68.78,69.98,68.78,69.98,549830,38477103.4
VNM,20170905,69.98,70.58,69.79,70.48,860140,60622667.2
VNM,20170906,70.39,70.39,69.61,69.74,325420,22694790.799999997
VNM,20170907,69.61,69.61,69.01,69.05,433550,29936627.5
VNM,20170908,68.82,69.1,68.73,68.87,303590,20908243.3
VNM,20170911,68.87,68.87,68.45,68.54,664250,45527695.00000001
VNM,20170912,68.27,68.59,68.22,68.4,676440,46268496.00000001
VNM,20170913,68.45,68.45,68.36,68.45,991330,67856538.5
VNM,20170914,68.36,68.54,68.36,68.5,805690,55189765.0
VNM,20170915,68.31,68.5,68.17,68.36,1520080,103912668.8
VNM,20170918,68.13,69.28,68.13,68.82,555240,38211616.8
VNM,20170919,68.82,68.91,68.54,68.54,343070,23514017.8
VNM,20170920,68.54,68.91,68.36,68.78,367110,25249825.8
VNM,20170921,68.59,68.59,68.36,68.36,741410,50682787.6
VNM,20170922,68.36,68.59,68.22,68.22,353760,24133507.2
VNM,20170925,68.22,68.36,67.99,68.36,254360,17388049.6
VNM,20170926,68.36,68.64,68.22,68.4,338160,23130144.000000004
VNM,20170927,68.36,68.59,68.31,68.36,310820,21247655.2
VNM,20170928,68.36,68.82,68.31,68.82,440360,30305575.199999996
VNM,20170929,68.82,69.74,68.78,68.91,996610,68676395.1
VNM,20171002,68.87,69.05,68.54,68.59,297110,20378774.900000002
VNM,20171003,68.64,68.64,68.22,68.31,634960,43374117.6
VNM,20171004,68.22,68.59,68.22,68.59,305930,20983738.7
VNM,20171005,68.64,69.1,68.5,68.82,465810,32057044.199999996
VNM,20171006,69.1,69.42,68.82,68.82,910760,62678503.199999996
VNM,20171009,68.82,68.91,68.4,68.78,146010,10042567.8
